movie_title,year,genre,duration,director,description,avg_vote,reviews_from_users,reviews_from_critics
Happy Tree Friends,2006,"Animation, Horror",74,"Rhode Montijo, Kenn Navarro",The show is cited as an example of achieving a cult following.,7.4,1.0,1.0
Hunger Games,2012,"Action, Adventure, Sci-Fi",142,Gary Ross,Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.,7.2,2052.0,687.0
Sansone,2010,"Comedy, Family",99,Tom Dey,"A suburban family moves to a new neighborhood with their large, yet lovable Great Dane, who has a tendency to wreak havoc in his own oblivious way.",4.3,67.0,100.0
Prisoners,2013,"Crime, Drama, Mystery",153,Denis Villeneuve,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.",8.1,914.0,494.0
Wrong Turn - Ingranaggio mortale,2009,"Action, Crime, Drama",91,Franck Khalfoun,A small-time crime boss kills a drug dealer without realizing that the drug dealer works for the biggest crime boss in the country.,6.1,25.0,22.0
Spoils of War,2009,"Action, War",87,Jean Liberté,Five American soldiers enter Nazi-occupied Europe on a covert assignment to kidnap the head of Operation Bernhard.,2.9,17.0,
Jesus Henry Christ,2011,Comedy,92,Dennis Lee,"At the age of ten, Henry James Herman, a boy who was conceived in a petri-dish and raised by his feminist mother, follows a string of Post-It notes in hopes of finding his biological father.",6.4,21.0,40.0
Helena from the Wedding,2010,"Comedy, Drama",89,Joseph Infantolino,Newlyweds Alex and Alice host a New Year's Eve party for their closest friends at a remote cabin in the mountains. An unexpected addition arrives and the group's facades begin to crumble.,4.6,7.0,16.0
I pinguini di Mr. Popper,2011,"Comedy, Family, Fantasy",94,Mark Waters,"The life of a businessman begins to change after he inherits six penguins, and as he transforms his apartment into a winter wonderland, his professional side starts to unravel.",6.0,125.0,188.0
Viaggio nell'isola misteriosa,2012,"Action, Adventure, Comedy",94,Brad Peyton,"Sean Anderson partners with his mom's husband on a mission to find his grandfather, who is thought to be missing on a mythical island.",5.8,182.0,182.0
Straight Outta Compton,2015,"Biography, Drama, History",147,F. Gary Gray,The rap group,7.8,389.0,384.0
YellowBrickRoad,2010,"Horror, Thriller",98,"Jesse Holland, Andy Mitton","1940: the entire population of Friar, New Hampshire walked up a winding mountain trail, leaving everything behind. 2008: the first official expedition into the wilderness attempts to solve the mystery of the lost citizens of Friar.",4.8,108.0,82.0
2084,2009,"Horror, Sci-Fi, Thriller",83,"George Blumetti, Maurice Kelly","Not much left since the world died. That's what they called it the day the virus took over and people went inside, never to leave their homes again. Soon after that, the last of the food ...",4.9,,1.0
Be My Teacher,2009,"Drama, Romance",90,Lakisha R. Lemons,"Alecia Willis is a young school teacher who gets too close to one of her students Evan, a mature high school senior falls in love with his English teacher. Evan is very persistent in his ...",4.1,1.0,2.0
Earthling,2010,Sci-Fi,111,Clay Liford,"After a mysterious atmospheric event, a small group of people wake up to realize that their entire lives have been a lie. They are in fact aliens disguised as humans. Now they have to make ...",4.3,16.0,3.0
Transformers 3,2011,"Action, Adventure, Sci-Fi",154,Michael Bay,"The Autobots learn of a Cybertronian spacecraft hidden on the moon, and race against the Decepticons to reach it and to learn its secrets.",6.2,946.0,437.0
Un gelido inverno,2010,"Drama, Mystery",100,Debra Granik,An unflinching Ozark Mountain girl hacks through dangerous social terrain as she hunts down her drug-dealing father while trying to keep her family intact.,7.2,350.0,235.0
Un cane alla Casa Bianca,2010,"Comedy, Drama, Family",90,Bryan Michael Stoller,"A foster boy is befriended by a lost dog who turns out to belong to the President of the United States. The boy decides to run away from the foster home to return the canine to the White House -- ""Because it's the right thing to do!""",5.0,14.0,2.0
The Fields,2011,"Drama, Mystery, Thriller",100,"Tom Mattera, David Mazzoni",Tells the story of a young boy and his family who are terrorized by an unseen presence.,4.4,44.0,69.0
A Boy Called Po,2016,"Drama, Fantasy",95,John Asher,"After his wife dies of cancer, an overworked engineer struggles to care for his son with autism. His son in response to bullying regresses into a fantasy world escape.",6.6,13.0,13.0
Slime City Massacre,2010,"Action, Horror, Sci-Fi",85,Gregory Lamberson,"In the wake of a ""dirty bomb"" attack, a New York City neighborhood known as ""Slime City"" has been evacuated, except for the homeless (""displaced refugees""). Four squatters searching for ...",4.4,5.0,24.0
Bob's New Suit,2011,Drama,95,Alan R. Howard,"Bob is a landscape gardener and handyman with a typical American family. But his ailing father, Buster, is hiding a secret past while his sister, Stephanie, holds onto a secret of her own. ...",4.9,1.0,6.0
Hesher è stato qui!,2010,"Comedy, Crime, Drama",106,Spencer Susser,A young boy has lost his mother and is losing touch with his father and the world around him. Then he meets Hesher who manages to make his life even more chaotic.,7.0,108.0,140.0
Orgy of the Damned,2010,"Fantasy, Horror, Thriller",92,Creep Creepersin,An erotic vampire tale set in a surreal world of pleasure and betrayal.,4.3,4.0,2.0
Assassins' Code,2011,"Action, Crime, Thriller",90,Lawrence Riggins,A corporate assassination forces opportunistic double agents from three nations to fight to retrieve a high-tech computer disk containing schematics for a deadly weapon.,3.3,5.0,2.0
Sinbad: The Fifth Voyage,2014,"Action, Adventure, Fantasy",89,Shahin Sean Solimon,"When the Sultan's firstborn is taken by an evil sorcerer, Sinbad is tasked with travelling to a desert of magic and creatures to save her.",5.2,56.0,12.0
Il Grinta,2010,"Drama, Western",110,"Ethan Coen, Joel Coen",A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer.,7.6,811.0,521.0
Remember Me,2010,"Drama, Romance",113,Allen Coulter,"A romantic drama centered on two new lovers: Tyler, whose parents have split in the wake of his brother's suicide, and Ally, who lives each day to the fullest since witnessing her mother's murder.",7.1,398.0,152.0
Rage,2010,"Action, Drama, Horror",85,Chris Witherspoon,A thirty something man who lives in a suburb just outside of Portland says goodbye to his beautiful and loving wife and heads into town. There he unintentionally provokes the wrath of a ...,4.3,8.0,57.0
The Romantics,2010,"Comedy, Drama, Romance",95,Galt Niederhoffer,Seven close friends reunite for the wedding of two of their friends. Problems arise because the bride and the maid of honor have had a long rivalry over the groom.,5.1,52.0,37.0
The Bannen Way,2010,"Action, Comedy, Crime",93,Jesse Warren,"A slick, sexy, action-packed show about Neal Bannen, a charming con-man with a police chief for a father, a mob boss for an uncle and a weakness for beautiful women, who wants to turn his ...",5.3,8.0,7.0
Separati innamorati,2012,"Comedy, Drama, Romance",92,Lee Toland Krieger,A divorcing couple tries to maintain their friendship while they both pursue other people.,6.6,73.0,198.0
Of Silence,2014,"Drama, Horror, Sci-Fi",94,Jeremiah Sayys,"An ailing former scuba diver, who faces extremely tough times, begins experiencing otherworldly incidents.",3.0,7.0,16.0
A Greater Yes: The Story of Amy Newhouse,2009,Drama,84,Bradley Dorsey,A sixteen-year-old girl's faith in God proves stronger than the cancer killing her.,6.4,4.0,1.0
Violet Tendencies,2010,"Comedy, Drama, Romance",99,Casper Andreas,A woman tries to distance herself from her gay friends in an effort to land a straight boyfriend.,6.2,4.0,10.0
Rimbalzi d'amore,2010,"Comedy, Romance, Sport",100,Sanaa Hamri,A physical therapist falls for the basketball player she is helping recover from a career-threatening injury.,5.9,38.0,67.0
Into Darkness - Star Trek,2013,"Action, Adventure, Sci-Fi",132,J.J. Abrams,"After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction.",7.7,1245.0,625.0
Poliziotto in prova,2014,"Action, Comedy, Crime",99,Tim Story,"Security guard Ben must prove himself to his girlfriend's brother, top police officer James. He rides along James on a 24-hour patrol of Atlanta.",6.2,129.0,153.0
Bloomington,2010,Drama,83,Fernanda Cardoso,"""Bloomington"" is a coming-of-age drama about a former child actress attending college in search of independence and who ends up becoming romantically involved with a female professor.",5.9,31.0,8.0
Everybody Dies,2009,Action,76,Josh Evans,"Veteran hitman Jake Lead has second thoughts about knocking off his latest target - Nina Conrad, a tough-talking loner with lots to hide. When he tracks her down, he immediately feels an ...",2.2,6.0,1.0
An Acrid Yarn,2010,Thriller,99,"Ike Duncan, Tony Roberts",Based on real events in a small town where the pastor takes advantage of his female flock.,2.6,1.0,
Exit to Hell,2013,"Action, Horror, Thriller",81,Robert Conway,"A local gang rob a mafia run strip club, shooting up the place and killing anyone in sight. They head south for the border, but when they enter the town of Redstone and begin terrorizing ...",3.5,5.0,14.0
Freeway Killer,2010,"Crime, Drama, Thriller",85,John Murlowski,The true story of William Bonin a California serial killer.,5.4,27.0,3.0
Porn Star Zombies,2009,"Comedy, Horror",80,Keith Emerson,A group of adult film cast and crew members must discover what is causing their fellow stars to rabidly attack them.,2.4,7.0,2.0
Bucky Larson: Born to Be a Star,2011,Comedy,97,Tom Brady,"A kid from the Midwest moves out to Hollywood in order to follow in his parents footsteps, and become a porn star.",3.2,78.0,49.0
Hop,2011,"Animation, Adventure, Comedy",95,Tim Hill,"E.B., the Easter Bunny's teenage son, heads to Hollywood, determined to become a drummer in a rock 'n' roll band. In LA, he's taken in by Fred after the out-of-work slacker hits E.B. with his car.",5.4,103.0,148.0
Pastor Shepherd,2010,Comedy,91,Edwin L. Marshall,The tale of a down-on-his-luck freeze-dried-pet-salesman and his journey to become the first-ever-cyber-evangelist.,4.2,21.0,3.0
Stuck!,2009,Drama,95,Steve Balderson,"Beautiful young Daisy feels stuck working as a shopgirl by day and caring for her ailing mother by night. A suicide gone wrong leaves Daisy wrongly imprisoned, while the neighbor whose ...",3.7,3.0,14.0
Just Another Day,2009,"Drama, Music",95,Peter Spirer,"Follows a day in the life of two men living at either end of the music game. A successful rapper, A-Maze, is dealing with the pitfalls and trappings of his success and facing new challenges...",4.9,9.0,1.0
Bookends,2008,"Comedy, Drama, Romance",70,Matt Riddlehoover,A group of old friends reunite at a birthday party.,4.5,4.0,
Beware the Gonzo,2010,"Comedy, Drama, Romance",94,Bryan Goluboff,A young muckraker decides to start his own underground newspaper at his high school.,6.3,4.0,21.0
Tavolo 19,2017,"Comedy, Drama, Romance",87,Jeffrey Blitz,"Eloise, having been relieved of maid of honor duties after being unceremoniously dumped by the best man via text, decides to attend the wedding anyway, only to find herself seated with five fellow unwanted guests at the dreaded Table 19.",5.8,130.0,116.0
Biophage,2010,Horror,72,Mark A. Rapp,"Through the tattered remains of a post-apocalyptic civilization, Sgt. Cain and Dr. Bell make their way back from the Center for Disease Control. Their mission to find signs of human life a ...",3.1,8.0,4.0
Cougar Hunting,2011,"Comedy, Romance",102,Robin Blazak,Tells the tale of three buddies in their 20's whose love-lives are in shambles. They go to Aspen to pursue the booming trend of dating cougars: hot older women who prey on hot young guys.,3.6,9.0,3.0
Evil Things,2009,"Horror, Mystery, Thriller",86,Dominic Perez,"On January 9, 2009, five college students left New York City for a weekend in the country. 48 hours later, all five students have simply vanished without a trace. There were no leads and no evidence - until now.",4.2,46.0,42.0
Frat Party,2009,Comedy,90,Robert Bennett,"Duffy, a former campus king of one-night stands and kinky threesomes, has one final blowout on the night before his wedding. Before making it to the altar, he will have to survive Asian ...",2.8,30.0,3.0
Ancora tu!,2010,"Comedy, Romance",105,Andy Fickman,"When a young woman realizes her brother is about to marry the girl who bullied her in high school, she sets out to expose the fiancée's true colors.",5.8,364.0,91.0
Awful Nice,2013,Comedy,92,Todd Sklar,"When Jim - a disenchanted yet highly popular college professor - learns of his father's death, he must track down his deadbeat brother Dave and deliver him to the funeral. Upon arrival, ...",4.9,19.0,17.0
Immigration Tango,2010,Comedy,92,David Burton Morris,An American couple and a foreign couple test the limits of friendship and love when they switch partners and get married for green cards.,3.5,3.0,9.0
The Brazen Bull,2010,Thriller,85,Douglas Elford-Argent,"An ice cold tale of misguided ambition and savage revenge. Set in the bowels of an iconic derelict Los Angeles high-rise, we follow Lauren and her real-estate investing fiancé as they ...",3.7,3.0,4.0
Bulletproof Man,2011,"Biography, Crime, Drama",106,Jonathan Hensleigh,"The true story of Danny Greene, a tough Irish thug working for mobsters in Cleveland during the 1970's.",7.1,93.0,85.0
The Secret Lives of Dorks,2013,Comedy,91,Salomé Breziner,"Samantha (a dork) is in love with Payton (another dork) who is in love with Carrie (a cheerleader), who dates Clark (the football captain). When Clark seeks out Payton for secret comic book...",5.0,5.0,6.0
Ominous,2009,"Drama, Horror",84,Justin Bergonzoni,When the Callahans set off for a peaceful family vacation in the mountains they never expected their personal demons to follow them. The children discover a paranormal presence in the ...,3.2,12.0,1.0
Provinces of Night,2010,"Drama, Romance",105,Shane Dax Taylor,A man who left home 40 years earlier to become a country singer returns home to the tattered remains of his broken family and a grandson who is desperately trying to escape the family curse.,6.1,13.0,15.0
River of Darkness,2011,Horror,105,Bruce Koehler,"When brutal murdering starts in a small riverside town, the sheriff must investigate and face the horrific past.",2.1,24.0,9.0
Groupie,2010,"Crime, Mystery, Thriller",90,Mark L. Lester,"When a mysterious groupie joins legendary cursed band, ""The Dark Knights"", a series of unexplained murders derails their comeback tour.",3.5,6.0,10.0
Stone,2010,"Drama, Thriller",105,John Curran,A convicted arsonist looks to manipulate a parole officer into a plan to secure his parole by placing his beautiful wife in the lawman's path.,5.4,167.0,131.0
Predators,2010,"Action, Adventure, Sci-Fi",107,Nimród Antal,A group of elite warriors parachute into an unfamiliar jungle and are hunted by members of a merciless alien race.,6.4,679.0,378.0
The Crypt,2009,Horror,84,Craig McMahon,"Six young criminals break into hidden catacombs and attempt to steal jewels, but some inhabitants are guarding the precious belongings. After being trapped in this dark maze of crypts, the group tries to escape alive.",3.2,16.0,13.0
BearCity,2010,"Comedy, Romance",104,Douglas Langway,"Set in New York's gay ""bear"" scene and taking a cue from the popular HBO franchise ""Sex and the City,"" BearCity follows a tight-knit pack of friends experiencing comical mishaps, ...",6.0,18.0,18.0
Lovelace,2013,"Biography, Drama",93,"Rob Epstein, Jeffrey Friedman",The story of,6.2,124.0,257.0
HairBrained,2013,"Comedy, Drama, Fantasy",97,Billy Kent,"14-year old genius Eli is rejected from Harvard, and ends up at Ivy League wannabe Whittman-U. There, Eli meets 41 year-old Leo, a gambler who has dropped out of life to enroll in college, who teaches him every bad habit he knows.",5.4,16.0,15.0
Losers Take All,2011,Comedy,96,Alex Steyermark,"Losers Take All is a comedy in which we follow ""The Fingers,"" a fictional punk-pop band stumbling and staggering their way in the opposite direction of mainstream success, circa 1986. ...",6.5,6.0,
The Human Race,2013,"Action, Horror, Sci-Fi",87,Paul Hough,"In THE HUMAN RACE a group of 80 people are ripped out of their daily lives and all re-appear in an undisclosed location. These people are from all walks of life: young and old, athletic and...",5.2,95.0,61.0
Alien Opponent,2010,"Action, Comedy, Sci-Fi",92,Colin Theys,"The owner of a small-town junkyard offers a cash reward to whomever can kill her uninvited, space-suited alien guest when its spacecraft crash-lands into her barn. Every wacko within 100 ...",4.4,15.0,21.0
Valley of the Sun,2011,"Comedy, Drama, Romance",103,Stokes McIntyre,"A disenfranchised adult film star, is forced to live with his parents in an Arizona retirement community, where he discovers his place in life.",5.0,6.0,4.0
Act Naturally,2011,"Comedy, Drama",90,J.P. Riley,"When two estranged stepsisters inherit their father's nudist colony, getting back to nature has never been so completely unnatural. A FilmBuff Presentation.",4.7,9.0,1.0
Dark Feed,2013,Horror,86,"Michael Rasmussen, Shawn Rasmussen",A film crew moves into an abandoned psychiatric hospital with a shadowy past to shoot a low budget horror movie.,3.2,22.0,22.0
The Uh-Oh Show,2009,"Comedy, Horror",87,Herschell Gordon Lewis,"Jill Burton is a reporter who's dead set on getting the scoop behind The Uh-Oh Show, the gory TV sensation that's sweeping the nation. Get the answer right and win piles of dough, get it ...",4.9,5.0,12.0
Kiss the Abyss,2012,Horror,88,Ken Winkler,"After a young woman is brutally killed by an intruder, her husband and father conspire with a mysterious desert dweller to awaken her from the dead. Soon after she awakens, she begins to realize that something is horribly wrong.",4.1,7.0,9.0
Deadpool,2016,"Action, Adventure, Comedy",108,Tim Miller,"A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.",8.0,1449.0,662.0
Perfect Combination,2010,"Comedy, Romance",92,Trey Haley,"Rick (Christian Keyes, Madea Goes to Jail) has got it all except a steady woman.",3.6,3.0,1.0
"Hollywood, je t'aime",2009,"Comedy, Drama, Romance",95,Jason Bushman,"A gay Parisian shows up in Hollywood at Christmastime, ready for his close-up.",6.3,5.0,8.0
Faster,2010,"Action, Crime, Drama",98,George Tillman Jr.,An ex-con gets on a series of apparently unrelated killings. He gets tracked by a veteran cop with secrets of his own and an egocentric hit man.,6.4,193.0,194.0
The Details,2011,"Comedy, Drama",101,Jacob Estes,"When a family of raccoons discover worms living underneath the sod in Jeff and Nealy's backyard, this pest problem begins a darkly comic and wild chain reaction of domestic tension, infidelity and murder.",6.1,39.0,40.0
O.B.A.M. Nude,2009,"Drama, History",80,Rod Weber,"At Occidental College in 1981, a loner snorts cocaine and smokes marijuana, secretly hoping to one day become someone important. His dream - and much more - comes true when Satan appears, ...",1.9,5.0,
The Eves,2012,Thriller,85,Tyler Glodt,"A group of students are en route to the beach for spring break when their car overheats near a crumbling hunting lodge, leaving them alone and defenseless while an unseen force attacks them from all sides.",4.2,7.0,3.0
The Landlord,2009,"Comedy, Horror",98,Emil Hyde,"The Landlord is the story of Tyler, the unfortunate young proprietor of a demon-haunted apartment building. While finding tenants has never been a problem for Tyler, keeping them alive long...",4.4,11.0,26.0
Mother's Day,2010,"Drama, Horror, Thriller",112,Darren Lynn Bousman,The sadistic members of a villainous family return to their childhood home to terrorize the new home owners and their guests.,6.3,106.0,145.0
Sure Looks Good,2010,Drama,87,Lionel Anthony Cook,A romantic drama that takes an introspective look into each woman's life as they go through a series of events that will change them forever.,1.9,2.0,
Echelon 8,2009,"Action, Crime, Drama",118,Joe Valenti,A new government agency with the right to domestic charter is reformed to prevent another terrorist attack in the United States.,3.8,4.0,
Elle - L'ultima Cenerentola,2010,"Drama, Family",90,"John Dunson, Sean Dunson","Elle wants to be a singer/songwriter, but her dreams are cut short by the sudden death of her parents. She moves in with her adoptive uncle, who runs a small independent record label whose ...",4.3,23.0,1.0
Amore e matrimonio,2011,Comedy,90,Dermot Mulroney,A happy newlywed marriage counselor's views on wedded bliss get thrown for a loop when she finds out her parents are getting divorced.,4.9,14.0,18.0
Lovers of Hate,2010,"Comedy, Drama",93,Bryan Poyser,A dark comedy which follows two brothers who are in love with the same woman.,6.1,4.0,18.0
Café,2011,Drama,95,Marc Erlbaum,"When tragedy strikes the community surrounding a cafe in West Philadelphia, the cafe's regulars come to realize how intertwined their lives truly are.",5.6,23.0,11.0
Sam Steele and the Junior Detective Agency,2009,Family,87,Tom Whitus,"13-year-old Sam Steele Jr. forms his own private detective agency to emulate his father, Des Moines detective Sam Steele, and helps track down a jewel thief.",4.1,6.0,1.0
Fright Night - Il vampiro della porta accanto,2011,"Comedy, Horror",106,Craig Gillespie,"When a nice new neighbor moves in next door, Charley discovers that he is an ancient vampire who preys on the community. Can he save his neighborhood from the creature with the help of the famous ""vampire killer"", Peter Vincent?",6.3,257.0,366.0
One Kine Day,2011,Drama,100,Chuck Mitsui,"Over the mountains, hidden from the touristic beaches of Waikiki, Ralsto, a 19 year old Hawaiian skateboarder, wakes up to a day he will never forget.",4.6,3.0,
The Best and the Brightest,2010,Comedy,93,Josh Shelov,"Set in the world of New York City's elite private kindergartens, THE BEST AND THE BRIGHTEST centers on a fresh-faced young couple, Samantha and Jeff, who have only recently moved into town....",4.9,13.0,20.0
Max Rose,2013,Drama,83,Daniel Noah,A jazz pianist makes a discovery days before the death of his wife that causes him to believe his sixty-five year marriage was a lie. He embarks on an exploration of his own past that brings him face to face with a menagerie of characters from a bygone era.,6.2,15.0,31.0
Battleship,2012,"Action, Adventure, Sci-Fi",131,Peter Berg,A fleet of ships is forced to do battle with an armada of unknown origins in order to discover and thwart their destructive goals.,5.8,884.0,396.0
Il mio angolo di Paradiso,2011,"Comedy, Drama, Fantasy",106,Nicole Kassell,An irreverent young woman who uses her humor to prevent matters from getting serious has a life-changing visit with her doctor.,6.3,73.0,79.0
Virginia,2010,Drama,111,Dustin Lance Black,A sheriff sees his state senate bid slide out onto the ice when his daughter begins to date the son of a charming but psychologically disturbed woman with whom the sheriff has engaged in a two-decade-long affair.,5.4,14.0,27.0
La fuga di Martha,2011,"Drama, Mystery, Thriller",102,Sean Durkin,"Haunted by painful memories and increasing paranoia, a damaged woman struggles to re-assimilate with her family after fleeing an abusive cult.",6.9,197.0,359.0
Terror Trap,2010,Thriller,86,Dan Garcia,"While driving at night on a lonely road, the car of estranged couple Don and Nancy is hit twice by another car in the middle of nowhere. Nancy asks for help and unpleasant sheriff Cleveland...",3.6,17.0,12.0
Politics of Love,2011,"Comedy, Romance",93,William Dear,A comedy romance inspired by the slew of publicly documented election love stories that sprung up during Obama's Presidential push. The plot follows the fortunes of a campaign team caught up in a whirlwind of euphoric romances.,3.5,5.0,3.0
Nero Bloom: Private Eye,2009,"Action, Mystery",46,Jason Eberly,"It's 1947 and private investigator Nero Bloom is about to experience his most twisted mystery yet! When hired by a rich socialite to secretly follow and protect her gambling husband, ...",3.2,8.0,
Bass Ackwards,2010,"Adventure, Comedy, Drama",103,Linas Phillips,"A man coming off a disastrous affair with a married woman has a lyrical, strange and comedic cross-country journey in a modified VW bus.",5.9,10.0,6.0
Le lettere di Madre Teresa,2014,Drama,114,William Riead,"A drama that explores the life of Mother Teresa (Juliet Stevenson) through letters she wrote to her longtime friend and spiritual advisor, Father Celeste van Exem (Max von Sydow) over a nearly fifty-year period.",6.1,20.0,22.0
Cost of a Soul,2010,"Crime, Drama",107,Sean Kirkpatrick,A gritty tale of two veterans who return home from Iraq to the war-zone of their own slum neighborhood. Their lives collide as their own families become entangled in a web of crime and corruption.,5.3,6.0,8.0
Game of Death,2011,"Action, Adventure, Thriller",98,Giorgio Serafini,Secret Ops agent Marcus is sent to Detroit to take out an arms dealer and the head of the hedge fund that is financing him. His CIA backup has other plans and turns on him and it's a fight to survive in a hospital.,4.7,28.0,43.0
Cat Run,2011,"Action, Comedy",106,John Stockwell,"When a sexy, high-end escort holds the key evidence to a scandalous government cover-up, two bumbling young detectives become her unlikely protectors from a ruthless assassin hired to silence her.",5.6,30.0,38.0
Le 5 leggende,2012,"Animation, Action, Adventure",97,Peter Ramsey,"When the evil spirit Pitch launches an assault on Earth, the Immortal Guardians team up to protect the innocence of children all around the world.",7.3,218.0,269.0
The Familiar,2009,Horror,101,Miles Hanon,"The Familiar is a terrifying story of spiritual manipulation in the life of a lonely gunsmith named Sam. Through his estranged sister-in-law, Laura, who he has not seen since before the ...",3.3,5.0,2.0
Desert Son,2010,Drama,90,"James Mann, Brandon Nicholas",A boy is abandoned in the heart of the desert by his step father. He takes refuge with two orphans who live in an abandoned mining town. The three kids struggle to survive through series of...,5.1,5.0,3.0
Leave,2011,"Drama, Thriller",84,Robert Celestino,Henry Harper is a successful novelist who has it all. But after surviving a recent trauma he finds himself haunted by a dream that terrifies him. Convinced that the only way to understand ...,5.9,27.0,14.0
A Marine Story,2010,"Crime, Drama, Romance",98,Ned Farr,"An ex marine returns to her hometown after Iraq, honorably kicked out. She helps a 20 y.o. woman, who's otherwise facing prison, prepare for military boot camp.",6.0,7.0,13.0
Il fidanzato della mia ragazza,2010,"Comedy, Romance",84,Daryn Tufts,"Jesse meets Ethan, someone she could finally fall in love with, but then she meets Troy, and now she has a dilemma.",5.8,38.0,7.0
Smile Pretty,2009,Drama,87,Harry Bromley Davenport,"Nastalia is too young to have experienced many things in life, but as an abused child she has already experienced the darkest side of it. Now a young teen she takes it upon herself to ...",5.2,10.0,
Winnie the Pooh - Nuove avventure nel Bosco dei Cento Acri,2011,"Animation, Adventure, Comedy",63,"Stephen J. Anderson, Don Hall","While searching for honey, Pooh and his friends embark on an adventure to find Eeyore's missing tail and rescue Christopher Robin from an unknown monster called The Backson.",7.2,69.0,164.0
Caught in the Crossfire,2010,"Action, Crime, Thriller",85,Brian A. Miller,Two detectives investigating a gang-related shooting find themselves targeted by both gang members and crooked cops.,4.4,8.0,11.0
The Confidant,2010,Thriller,90,Alton Glass,"The feature weaves an intricate tale about childhood best-friends that have an unusually strong bond and a more intriguing secret. Both young men are on the right path to promising futures,...",4.0,4.0,4.0
Unrequited,2010,"Drama, Thriller",115,"Jeffrey Day, Jason Epperson","Troubled by his disturbed past, a young man kidnaps the girl of his dreams and ultimately finds himself battling with his conscience, having to decide whether to let her go or keep her prisoner.",4.8,1.0,
Mooz-Lum,2010,"Drama, Family",94,Qasim Basir,"Amid a strict Muslim rearing and a social life he's never had, Tariq enters college confused. New peers, family and mentors help him find his place, but the 9-11 attacks force him to face his past and make the biggest decisions of his life.",6.8,13.0,8.0
Roadie,2011,"Comedy, Drama, Music",95,Michael Cuesta,"After 20 years on the road with Blue Oyster Cult, Jimmy Testagros returns to his hometown to life with his ailing mother. Complications arise when he falls for an old friend, who is now married to his longtime nemesis.",5.9,25.0,37.0
Signals 2,2013,"Action, Sci-Fi, Thriller",107,Carlos Etzio Roman,"Inspired by the actual CIA mind-control experimentation project, MK-Ultra, 'Signals 2' is the second installment of the sci-fi feature tetralogy series, 'Signals.' The storyline continues ...",4.5,2.0,
This End Up,2009,"Comedy, Drama",149,"David LaRosa, Brian Robbinson","In the fall of 2007, McMurphy & Sons joined forces with a low budget local network, Tri-State channel 23, to depict their trials and tribulations against their mighty competitor......",4.5,,
Restitution,2011,"Crime, Thriller",101,Lance Kawas,A true crime writer investigating a small town murder spree uncovers the devastating truth that changes the town forever.,3.6,21.0,6.0
Vanishing on 7th Street,2010,"Horror, Mystery, Thriller",92,Brad Anderson,"The population of Detroit has almost completely disappeared, but a few remain. As daylight disappears they realize that the Dark is coming for them.",4.9,172.0,144.0
William Vincent,2010,"Crime, Drama",100,Jay Anania,A man returns to New York after years in exile to save the girl he loves.,4.3,24.0,12.0
Monsters University,2013,"Animation, Adventure, Comedy",104,Dan Scanlon,"A look at the relationship between Mike Wazowski (Billy Crystal) and James P. ""Sully"" Sullivan (John Goodman) during their days at Monsters University, when they weren't necessarily the best of friends.",7.3,336.0,395.0
Intrighi di potere,2010,Comedy,96,Dave Fraunces,"A film about the behind-the-scenes world of Washington politics. A former staffer that has fallen from grace tries to get back in the political game but realizes ""there is life above the beltway.""",4.6,,
The Help,2011,Drama,146,Tate Taylor,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",8.0,570.0,394.0
Followed Home,2010,Horror,74,Joaquin F. Palma,A group of friends head out for a mountain retreat only to witness a gruesome murder at a near by cabin. They head home wanting to forget the experience... but are followed home by the murder.,2.5,5.0,4.0
Truth,2017,"Drama, History, Thriller",80,"Dianna Collett, Paul Collett",A terrorist cell takes three Americans hostage and threatens to expose a secret that will shatter America's soul.,7.0,,
Let's Rob the Cheese Shop,2009,"Comedy, Romance",82,Sean Gerowin,"Three college friends, found in an awkward love triangle, haphazardly plan an inside robbery of a gourmet cheese shop in New Orleans; overnight, two back out, and the third meets the MILF of his dreams.",6.8,3.0,
Hand 2 Hand,2011,Action,92,Jino Kang,"Years ago, Ken Min failed to stop his friend from killing a young couple, leaving their infant son orphaned. After his friend is sent to prison for the crime, Ken spends his life running ...",3.5,6.0,7.0
Delivered,2011,"Crime, Thriller",90,Michael Madison,"Driven by a promise, fueled by revenge. True Romance and Vanishing point, the Mojave desert is the backdrop for this heartfelt story of betrayal and redemption. An eclectic collection of ...",5.2,11.0,2.0
Boy Wonder,2010,"Action, Crime, Drama",93,Michael Morrissey,"A traumatized boy grows into a shy, determined teenager who patrols the mean streets of New York City, helping those in need and dishing out severe punishment to remorseless thugs.",6.8,46.0,37.0
Searching for Sonny,2011,"Comedy, Mystery",94,Andrew Disney,Reunited friends find themselves the chief suspects of a murder mystery that seems eerily similar to a play they performed in high school.,6.3,4.0,5.0
