movie_title,year,genre,duration,director,description,avg_vote,reviews_from_users,reviews_from_critics
Il mio cane Skip,2000,"Comedy, Drama, Family",95,Jay Russell,"A shy boy grows up in 1940s Mississippi with the help of his beloved dog, Skip.",7.0,150.0,89.0
Sai che c'è di nuovo?,2000,"Comedy, Drama, Romance",108,John Schlesinger,"Abbie, tired of failed relationships, has a one-night-stand with her gay friend; they agree to raise the resulting baby together.",4.7,162.0,85.0
Rave,2000,Drama,85,Ron Krauss,Kids go to a rave and not all of them make it home the next day.,5.7,5.0,
Clockstoppers,2002,"Action, Adventure, Comedy",94,Jonathan Frakes,A teenager accidentally activates a machine that enables him to speed up his body so that other people seem to be standing still.,5.2,95.0,65.0
I Flintstones in Viva Rock Vegas,2000,"Comedy, Family, Romance",90,Brian Levant,"In this live-action prequel to The Flintstones (1994), the Flintstones and the Rubbles go on a trip to Rock Vegas, where Wilma Slaghoople (Kristen Johnston) is pursued by playboy Chip Rockefeller (Thomas Gibson).",3.6,99.0,62.0
Behind Enemy Lines - Dietro le linee nemiche,2001,"Action, Drama, Thriller",106,John Moore,A Navy navigator is shot down over enemy territory and is ruthlessly pursued by a secret police enforcer and the opposing troops. Meanwhile his commanding officer goes against orders in an attempt to rescue him.,6.4,437.0,138.0
Civility,2000,Thriller,82,Caesar Cavaricci,A man must avenge his father's murder to receive $3 million.,3.7,2.0,
Takedown,2000,"Biography, Crime, Drama",96,Joe Chappelle,This film is based on the story of the capture of computer hacker Kevin Mitnick.,6.3,48.0,15.0
Troppo pazze... poco serie,2000,Comedy,94,Bill Fishman,"Lily is a twenty-something aspiring writer who receives an invitation to attend a wedding reception with Jonathan, a handsome entomologist who also happens to be the man of her dreams. The ...",4.1,16.0,8.0
Final Solution,2001,"Action, Drama",102,Cristobal Krusen,"The indoctrination of Gerrit Wolfaardt is complete: his family traditions, history, culture- even his church-have taught him that black South Africans are a cancer in the land. Under the ...",6.6,9.0,4.0
Four Dogs Playing Poker,2000,"Crime, Drama, Mystery",97,Paul Rachman,"Four friends steal a valuable statuette for a dangerous black market art dealer, lose it, and are forced to play a deadly bluffing game to save their lives.",5.6,29.0,8.0
Impostor,2001,"Drama, Mystery, Sci-Fi",95,Gary Fleder,"In the future, an alien race uses androids as bombs to attack Earth. A government weapons specialist is accused of being one such android and sets out to prove his innocence.",6.2,207.0,83.0
The Independent,2000,Comedy,81,Stephen Kessler,A notorious B-movie director tries for a comeback by seeking out the film rights to the life story of a serial killer who wants his biography film to be a musical.,5.9,30.0,15.0
Housebound,2000,Thriller,89,Mari Kornhauser,"A woman rents her bungalow to a man who loves cooking, but according to her distorted mind he uses his knives more than he should.",4.0,4.0,3.0
The Last Great Ride,2000,Comedy,89,Ralph E. Portillo,"A kid, his new friend who's a girl, his grandmother and their old neighbor who used to work as a driver for a gangster, search for the treasure supposedly hidden nearby by the gangster long time ago, to help the neighbor keep his house.",5.0,5.0,
Lost Souls - La profezia,2000,"Drama, Horror, Thriller",97,Janusz Kaminski,"A Catholic teacher meets an atheist journalist, whom a group of Catholics and Priests believes has been chosen by the devil to be the Antichrist.",4.8,173.0,102.0
Luckytown,2000,"Drama, Crime, Mystery",101,Paul Nicholas,"Kirsten Dunst plays a young woman (Lidda), who is searching for her father (James Caan). She finds herself at odds with her boyfriend who wants nothing but a carefree lifestyle.",4.7,10.0,4.0
Una valigia a 4 zampe,2000,"Comedy, Drama",92,Michael Browning,"A series of mishaps and misfortunes over $1 million in cash leads to murder, mayhem and greed.",4.9,9.0,1.0
Other Voices,2000,"Drama, Romance, Thriller",104,Dan McCormack,"This movie deals with the breakdown of communication, the loss of identity, and the facelessness of corporate life. Phil (David Aaron Baker) and Anna (Mary McCormack) are a young married, ...",5.7,15.0,
Passion of Mind,2000,"Drama, Mystery, Romance",105,Alain Berliner,A psychological romantic thriller where fantasy and reality become indistinguishable for a woman leading a double life in her dreams.,5.5,42.0,50.0
