,year,movie_title,certificate,duration,genre,rate,metascore,votes,gross,user_reviews,critic_reviews,cartoon,number_of_genres
1023,2014,Gone Girl,R,149,Crime|Drama|Mystery,8.10000038,79.0,608769,167740000,1150.0,576.0,False,3
1024,2014,The Grand Budapest Hotel,R,99,Adventure|Comedy|Drama,8.10000038,88.0,508058,59070000,656.0,542.0,False,3
1025,2015,Love the Coopers,PG-13,107,Comedy,5.69999981,31.0,12016,26280000,81.0,102.0,False,1
1026,2013,Frozen,PG,102,Animation|Adventure|Comedy,7.5,74.0,438504,400740000,927.0,417.0,True,3
1027,2013,Olympus Has Fallen,R,119,Action|Thriller,6.5,41.0,210461,98900000,705.0,362.0,False,2
1028,2013,Mandela: Long Walk to Freedom,PG-13,141,Biography|Drama|History,7.099999900000001,60.0,22175,8320000,108.0,212.0,False,3
1029,2014,Wild,R,115,Adventure|Biography|Drama,7.099999900000001,76.0,92465,37880000,257.0,351.0,False,3
1030,2014,The Hobbit: The Battle of the Five Armies,PG-13,144,Adventure|Fantasy,7.400000099999999,59.0,373125,255110000,815.0,425.0,False,2
1031,2015,Fifty Shades of Grey,R,125,Drama|Romance|Thriller,4.099999899999999,46.0,229232,166150000,1379.0,369.0,False,3
1032,2014,The Expendables 3,PG-13,126,Action|Adventure|Thriller,6.0999999,35.0,133235,39290000,357.0,324.0,False,3
1033,2013,Blue Jasmine,PG-13,98,Drama,7.30000019,78.0,156398,33404871,396.0,420.0,False,1
1034,2013,White House Down,PG-13,131,Action|Drama|Thriller,6.4000001,52.0,169764,73100000,438.0,340.0,False,3
1035,2013,The Great Beauty,Not Rated,141,Drama,7.69999981,86.0,59670,2840000,127.0,280.0,False,1
1036,2016,Live by Night,R,129,Crime|Drama,6.80000019,48.0,5208,5610000,59.0,158.0,False,2
1037,2015,The Intern,PG-13,121,Comedy|Drama,7.099999900000001,51.0,151093,75270000,334.0,246.0,False,2
1038,2015,Spectre,PG-13,148,Action|Adventure|Thriller,6.80000019,60.0,297783,200070000,1019.0,619.0,False,3
1039,2017,Coco,PG,105,Animation|Adventure|Comedy,8.69999981,81.0,73974,202700000,293.0,295.0,True,3
1040,2015,Brooklyn,PG-13,117,Drama|Romance,7.5,87.0,88755,38317535,242.0,364.0,False,2
1041,2015,Mission: Impossible - Rogue Nation,PG-13,131,Action|Adventure|Thriller,7.400000099999999,75.0,248632,195000000,449.0,472.0,False,3
1042,2015,Focus,R,105,Comedy|Crime|Drama,6.599999900000001,56.0,159964,53850000,228.0,282.0,False,3
1043,2016,Keeping Up with the Joneses,PG-13,105,Action|Comedy,5.80000019,34.0,15330,14900000,42.0,74.0,False,2
1044,2015,Avengers: Age of Ultron,PG-13,141,Action|Adventure|Sci-Fi,7.400000099999999,66.0,494557,458990000,1124.0,648.0,False,3
1045,2017,Mudbound,R,134,Drama,7.5,85.0,13882,0,74.0,124.0,False,1
1046,2015,The Invitation,Not Rated,100,Drama|Mystery|Thriller,6.69999981,74.0,34119,230000,148.0,190.0,False,3
1047,2015,Anomalisa,R,90,Animation|Comedy|Drama,7.30000019,88.0,41612,3440000,159.0,347.0,True,3
1048,2014,The November Man,R,108,Action|Crime|Thriller,6.30000019,38.0,52584,24980000,154.0,175.0,False,3
1049,2015,Carol,R,118,Drama|Romance,7.19999981,95.0,73753,250000,245.0,417.0,False,2
1050,2013,The Green Inferno,R,100,Adventure|Horror,5.4000001,38.0,24494,7190000,173.0,291.0,False,2
1051,2013,The Family,R,111,Comedy|Crime|Thriller,6.30000019,42.0,90688,36920000,218.0,231.0,False,3
1052,2016,The Magnificent Seven,PG-13,133,Action|Adventure|Western,7.0,54.0,88471,93380000,297.0,314.0,False,3
1053,2013,Philomena,PG-13,98,Biography|Drama,7.599999900000001,77.0,78805,37707719,238.0,356.0,False,2
1054,2015,Joy,PG-13,124,Drama,6.599999900000001,56.0,90841,56440000,273.0,320.0,False,1
1055,2014,Mr. Turner,R,150,Biography|Drama|History,6.80000019,94.0,19358,3960000,168.0,263.0,False,3
1056,2015,Star Wars: The Force Awakens,PG-13,136,Action|Adventure|Fantasy,8.10000038,81.0,627665,936630000,4059.0,814.0,False,3
1057,2015,Burnt,R,101,Comedy|Drama,6.599999900000001,42.0,71128,13650000,137.0,180.0,False,2
1058,2017,Star Wars: The Last Jedi,PG-13,152,Action|Adventure|Fantasy,7.5,85.0,303155,610800000,4375.0,576.0,False,3
1059,2016,Arrival,PG-13,116,Drama|Mystery|Sci-Fi,8.30000019,81.0,131024,94130000,709.0,514.0,False,3
1060,2017,Wonder,PG,113,Drama|Family,8.10000038,66.0,24346,130560000,122.0,173.0,False,2
1061,2016,The Light Between Oceans,PG-13,133,Drama|Romance,7.19999981,60.0,15686,12530000,86.0,200.0,False,2
1062,2014,A Million Ways to Die in the West,R,116,Comedy|Romance|Western,6.0999999,44.0,141084,42620000,422.0,307.0,False,3
